Id,Prediction
0,3893405.32356767
1,3538949.07647964
2,3946184.2759051
3,3851970.31148412
4,3848613.60959205
5,3547017.02588165
6,3506572.07978195
7,3972759.07334859
8,4846914.54520268
9,2390517.01429794
10,3991719.87426874
11,3427307.80997666
12,4257760.41370124
13,5210220.1936905
14,3670144.74351461
15,4687293.4394203
16,6409841.91696756
17,3239919.88455053
18,4543082.48074643
19,3693088.39777792
20,3159177.47158206
21,3821087.45160722
22,3890779.05785718
23,3887842.98580533
24,6261820.72057024
25,3700343.56032841
26,3154266.25370385
27,4265045.0705527
28,3685147.44442015
29,4833720.94183953
30,5050640.83602839
31,3772048.26465945
32,3656627.636743
33,4208506.33526004
34,3711689.00056054
35,4098853.30947759
36,3789665.23286186
37,4222256.67788225
38,3221532.43359227
39,4099780.53845601
40,4924124.34340793
41,4392841.23270218
42,3590997.97181381
43,3830358.09415452
44,3962949.76197712
45,3604151.46802729
46,3690246.88904399
47,3046685.52159899
48,5830347.4698471
49,5281571.9935989
50,4822382.2549124
51,5108003.88245197
52,3825640.39715141
53,3682406.19225643
54,3480412.70225699
55,3874873.76860316
56,4144885.30250964
57,4456802.99642446
58,3566486.11652311
59,4542385.30288357
60,3624835.56100792
61,3625310.96695808
62,4203985.27018649
63,3994347.05232217
64,4320824.22924389
65,4238150.7385692
66,3485563.78875354
67,5697560.12093507
68,5480826.91919763
69,3984046.72693057
70,4081904.35325949
71,4125218.41758041
72,4351974.83989159
73,3620637.34494008
74,4504981.15014398
75,3928494.902443
76,4162079.47152768
77,4189564.34231333
78,4630058.04702439
79,4095138.59166776
80,4022951.43631844
81,3730863.39204496
82,3906475.39550803
83,3486933.87705923
84,4690651.11997254
85,3333430.38699977
86,4419660.21750442
87,3669041.58565031
88,4268107.45594609
89,7145676.34570445
90,4234234.11762425
91,4338870.50976803
92,3533553.4656985
93,5024977.1782405
94,3775557.97215745
95,3853676.73829661
96,3968746.14535041
97,3911058.74323747
98,3793284.11402203
99,4384122.43209737
100,3520180.48280663
101,3415595.10175734
102,3860901.18874065
103,3227976.61542261
104,3458242.37420545
105,3226260.84662691
106,4236184.93890689
107,3458254.94165046
108,4070284.50290123
109,4047307.34021753
110,6382167.77564543
111,7745917.79046282
112,4938898.07716184
113,3867348.55550925
114,3949894.52515494
115,4838574.11750387
116,3992165.137034
117,5398324.69979486
118,3986428.76276105
119,3616788.94728203
120,4862616.33848282
121,4455253.67860084
122,3910222.72078644
123,5282866.37198697
124,3980535.84761735
125,3552871.93756725
126,3963960.99938284
127,3355658.83098357
128,2856244.89710885
129,4128244.17275162
130,3625335.61611501
131,5048603.54944821
132,4312962.59593089
133,2686643.97652441
134,4014138.73429203
135,3836006.79063393
136,4686061.62935199
137,3380812.1492452
138,5744991.75715908
139,4079348.1118283
140,5262862.08484131
141,3656517.99403832
142,4413971.58596168
143,3670436.42878508
144,3795581.29711663
145,2613394.06331856
146,3931321.01540723
147,3684116.43769078
148,4828192.06294111
149,4620558.09444048
150,3788516.08145536
151,3522298.05931938
152,4134525.8579339
153,4749734.37657383
154,3644582.35014262
155,4317310.26045
156,4330602.6029453
157,5005342.33426082
158,4951112.14205914
159,3697243.35984141
160,4034496.37400951
161,4366411.48426924
162,3212141.56467413
163,4712120.27247175
164,4321840.71590962
165,3802092.92564454
166,4410360.126537
167,4062097.51241584
168,3593866.92803498
169,4903543.57590628
170,3820905.34442833
171,3792241.75861601
172,3642695.40030135
173,3831666.12762348
174,4185417.41195639
175,3878243.08557261
176,4279375.05165991
177,4386704.33041971
178,4488356.68537301
179,4259062.89696576
180,4010590.46680564
181,3886568.51968336
182,3988886.96867862
183,4386949.19092477
184,4386672.91716338
185,3607802.76251339
186,3629084.09882308
187,5463144.98332647
188,4731299.43777503
189,4280345.19777175
190,5582765.99576548
191,5185599.78661542
192,4816802.81475264
193,4495332.98688018
194,3715572.24856526
195,4395882.85179174
196,5478625.04552126
197,3671549.68021083
198,4278711.44107989
199,3919809.05772822
200,4685322.67669818
201,3920173.32971444
202,3779618.95436355
203,4563762.15462302
204,4546386.22986443
205,3786405.24308222
206,2969920.28007447
207,3144150.92131697
208,4409681.89597964
209,3833192.29805884
210,6004013.41197292
211,3964393.87628808
212,3578595.82955054
213,4324385.1331022
214,3907761.37774897
215,3423279.23335362
216,4982185.11480548
217,3794723.60048101
218,4322953.24019735
219,3590603.19132675
220,4069929.69337584
221,4263191.6043955
222,4841239.93677364
223,3948478.24383921
224,4221013.38297168
225,5756491.02154517
226,4195634.21209129
227,4820707.46543235
228,4062751.66013775
229,8101341.6325244
230,4611127.93916825
231,5502305.82533621
232,5286542.85104437
233,4455421.92673353
234,3750012.33368065
235,4742432.93400117
236,4291400.48409505
237,3833007.85573789
238,4150440.9525958
239,4228483.15876638
240,4535366.16423606
241,3621780.79912002
242,3728596.96881648
243,7201322.267391
244,4487926.28929842
245,4738461.18251901
246,3933116.6921953
247,4446538.59649989
248,3494516.73614555
249,3953143.90462245
250,2991307.33442136
251,5075820.9555798
252,4837248.8118667
253,3384078.17410499
254,4525290.57296948
255,3877735.9163048
256,3769222.48942074
257,3896792.7078109
258,3622792.6729986
259,3947212.69633084
260,3992386.52019144
261,5100119.07009509
262,5601166.34688893
263,3668070.04131169
264,3702293.10188642
265,4903606.09707043
266,4469701.86859929
267,4575932.75342578
268,4972706.52403906
269,4096192.06877304
270,4278923.7155782
271,3835116.40471322
272,4761073.11715314
273,4834571.19120611
274,4121121.4299865
275,5223545.44322223
276,6211228.07773228
277,4135026.7872217
278,4401281.82048879
279,4718845.37102557
280,4339714.78242019
281,4211406.43080976
282,4249428.39869465
283,4189228.31777327
284,4439664.41523792
285,3229385.8562913
286,5136235.98893491
287,2754677.72901631
288,4499920.2312541
289,4091622.6844468
290,4673522.2403442
291,4659860.69397961
292,4206694.21315978
293,4696089.40811849
294,3571082.17551018
295,5205265.45304607
296,4088417.51596123
297,4639600.41191796
298,4044770.38107766
299,4868236.44337344
300,3820391.06600598
301,4827733.49062857
302,4382515.22533577
303,4087540.33123384
304,4445419.85667989
305,5543101.18460803
306,3981197.76810134
307,3954547.91859517
308,3512284.12571565
309,3898080.32128105
310,4138998.92476748
311,3765863.12449963
312,3951275.64280905
313,3196454.10784331
314,2939713.41819676
315,5196777.65733148
316,4063437.80435933
317,4190840.25255363
318,6593787.0738537
319,4992619.04787142
320,5331759.39039434
321,3820613.3395509
322,4322846.04535952
323,4678650.637911
324,4556574.85202375
325,4166928.75018066
326,5367361.42767348
327,4948239.11577731
328,4081227.3829866
329,6994125.45010066
330,4518567.22234784
331,5540451.02185676
332,4809745.91711477
333,5635223.25184533
334,6240643.38617196
335,4630428.35291379
336,3541742.90891977
337,4646969.25695205
338,4158309.6144722
339,4721994.62682729
340,4976043.36034463
341,4055462.90915657
342,7674755.92348006
343,3425997.41853626
344,3878406.07214968
345,4064220.85201647
346,5269803.16877195
347,4560284.62925193
348,4241824.30551607
349,4575640.26178924
350,4322358.56270138
351,4472805.88462981
352,5110650.32499196
353,5073962.03916026
354,4611046.16743237
355,5579491.2470944
356,4892678.68097421
357,5037029.76463837
358,5312815.68880296
359,4786858.7349869
360,4542014.38835871
361,4346345.28414448
362,4105448.67709579
363,4575178.61655775
364,4777392.77121907
365,5097728.91977942
366,3668373.36286671
367,3483303.26997261
368,3510606.07226141
369,5048637.56207012
370,4440416.8975045
371,4837414.578384
372,3846629.33557077
373,5923927.90276729
374,4670332.4056045
375,4432051.67844538
376,3791654.70913365
377,4360190.02490342
378,5831814.32969575
379,4759488.07998147
380,4128796.48587033
381,3971595.28442286
382,4516799.4598019
383,3905681.41651974
384,4826821.53587041
385,4680347.52748999
386,5036732.26931074
387,5908379.70029138
388,4883486.3936188
389,5616971.02864246
390,4574445.93801656
391,5136886.87860372
392,4339677.97200905
393,4469437.90129874
394,5653174.41284581
395,4454438.37362768
396,5308786.47495634
397,4874980.54517421
398,4154331.88070432
399,5119394.39528433
